City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kinston,35.2627,-77.5816,69.78,94,1,0.0,US,1635169986
Cayenne,4.9333,-52.3333,85.08,82,75,5.99,GF,1635169987
Rypefjord,70.6333,23.6667,33.55,69,75,10.36,NO,1635169988
Deputatsky,69.3,139.9,-2.65,99,100,0.89,RU,1635169990
Ust'-Shonosha,61.1531,41.343,29.73,86,100,8.16,RU,1635169991
Yumen,40.2833,97.2,46.04,35,100,8.7,CN,1635169992
San Benito,36.6166,-121.0844,45.66,93,100,8.99,US,1635169992
Furano,43.2818,142.4743,39.87,88,10,3.42,JP,1635169993
Lagoa,39.05,-27.9833,66.24,76,42,8.55,PT,1635169993
Yangjiang,21.85,111.9667,67.68,77,1,7.36,CN,1635169995
Manacor,39.5696,3.2096,74.28,69,52,6.22,ES,1635169995
Boussé,12.6606,-1.8922,90.97,23,72,7.74,BF,1635169996
Bafoulabé,13.8065,-10.8321,99.45,32,94,4.03,ML,1635169998
Avilés,43.5547,-5.9248,66.38,69,20,10.0,ES,1635169999
Vila,42.0304,-8.1588,58.33,67,94,4.52,PT,1635170000
Stolin,51.8912,26.846,46.35,50,10,7.43,BY,1635170001
Khilok,51.3674,110.4676,32.09,91,46,9.13,RU,1635170003
Sensuntepeque,13.8667,-88.6333,73.74,89,10,0.63,SV,1635170003
Matadi,-5.8167,13.45,92.25,46,100,6.69,CD,1635170004
Rocha,-34.4833,-54.3333,74.82,46,0,21.5,UY,1635170005
Shache,38.4167,77.2406,53.17,31,100,3.98,CN,1635170007
Srednekolymsk,67.45,153.6833,-2.27,94,98,4.68,RU,1635170007
Belaya Gora,68.5333,146.4167,-8.37,100,56,1.21,RU,1635170008
Kimbe,-5.5502,150.1429,75.9,92,90,2.73,PG,1635170010
Waingapu,-9.6567,120.2641,81.64,77,82,4.05,ID,1635170011
Santa Cruz de Tenerife,28.4682,-16.2546,78.22,67,40,4.0,ES,1635170011
Bongandanga,1.5,21.05,80.74,69,100,3.2,CD,1635170012
Aitape,-3.1374,142.3475,78.75,84,76,2.66,PG,1635170014
Bangaon,23.0667,88.8167,82.35,67,52,2.73,IN,1635170014
Huntington,38.4193,-82.4452,62.31,90,99,9.82,US,1635170014
Buin,-33.7333,-70.75,70.12,23,33,2.86,CL,1635170015
Kitimat,54.0524,-128.6534,46.78,29,63,4.43,CA,1635170017
Zhigansk,66.7697,123.3711,23.79,96,100,7.67,RU,1635170018
Baculin,7.4525,126.5842,79.56,87,42,2.39,PH,1635170019
Maravatío de Ocampo,19.9,-100.45,55.78,93,100,2.17,MX,1635170020
Kosonsoy,41.2561,71.5508,48.76,29,0,2.37,UZ,1635170021
Colares,38.7992,-9.4469,74.39,55,40,13.8,PT,1635170021
Nuevo Imperial,-13.0754,-76.3172,67.05,67,27,4.63,PE,1635170022
Chengde,40.9725,117.9361,51.24,71,100,2.77,CN,1635170023
Kungälv,57.871,11.9805,52.16,88,100,1.99,SE,1635170024
Ossora,59.2353,163.0719,23.68,84,100,7.43,RU,1635170025
Hay River,60.8156,-115.7999,30.18,100,20,3.44,CA,1635170026
Padang,-0.9492,100.3543,77.05,88,100,2.62,ID,1635169799
Dunmore Town,25.5,-76.65,81.41,80,100,15.86,BS,1635170028
Birao,10.2849,22.7882,97.11,21,69,6.26,CF,1635170029
Camocim,-2.9022,-40.8411,90.79,47,17,13.0,BR,1635170031
Vestmanna,62.1564,-7.1664,47.32,93,75,18.41,FO,1635170032
Bubaque,11.2833,-15.8333,82.98,73,100,3.44,GW,1635170034
Marawi,7.9986,124.2928,70.65,93,100,0.56,PH,1635170036
Ancud,-41.8697,-73.8203,52.43,93,100,12.46,CL,1635170036
Biltine,14.5333,20.9167,98.35,13,1,9.06,TD,1635170038
Tura,25.5198,90.2201,68.04,94,0,2.19,IN,1635170039
Phanom Sarakham,13.7479,101.3553,84.09,84,86,7.52,TH,1635170039
Assiniboia,49.6334,-105.9845,39.02,87,100,23.02,CA,1635170039
Tacoronte,28.4769,-16.4102,71.76,65,40,11.01,ES,1635170040
Angoche,-16.2325,39.9086,82.27,75,3,16.62,MZ,1635170041
Valley City,46.9233,-98.0032,38.14,100,1,6.91,US,1635170043
Banda Aceh,5.5577,95.3222,79.68,83,96,8.34,ID,1635169968
Hailun,47.45,126.9333,44.01,62,100,6.49,CN,1635170044
Ampanihy,-24.7,44.75,89.78,41,2,18.25,MG,1635170044
Akdağmadeni,39.6603,35.8836,41.16,64,100,10.33,TR,1635170045
Menongue,-14.6585,17.691,90.39,24,95,7.58,AO,1635170047
Pokhara,28.2333,83.9833,61.32,85,0,6.6,NP,1635170048
Villanueva,15.3167,-88.0,86.04,83,20,3.44,HN,1635170048
Arnstadt,50.8333,10.95,57.76,59,0,4.61,DE,1635170049
Parabel',58.6978,81.4825,35.78,81,100,12.21,RU,1635170050
La Providencia,28.7167,-111.5833,67.64,89,0,5.12,MX,1635170052
Bayan,46.0833,127.4,46.54,79,84,7.05,CN,1635170052
Tommot,58.9564,126.2925,35.33,95,98,6.89,RU,1635170053
Sittwe,20.15,92.9,79.75,75,97,5.01,MM,1635170054
Vung Tau,10.346,107.0843,81.46,75,98,2.68,VN,1635170054
Emporia,38.4039,-96.1817,50.52,87,90,9.22,US,1635170054
Faranah,10.0404,-10.7434,83.08,70,69,4.61,GN,1635170055
Jacupiranga,-24.6925,-48.0022,76.66,49,39,5.53,BR,1635170057
Manta,-0.95,-80.7333,73.18,88,90,8.05,EC,1635170058
Muros,42.7762,-9.0603,68.99,82,19,5.82,ES,1635170060
Bad Bevensen,53.0833,10.5833,58.59,61,100,6.85,DE,1635170061
Aasiaat,68.7098,-52.8699,3.92,92,66,6.26,GL,1635169955
Klaksvík,62.2266,-6.589,49.12,85,89,21.21,FO,1635170062
Yeppoon,-23.1333,150.7333,67.78,83,100,8.05,AU,1635170063
Povenets,62.8487,34.8262,34.43,99,100,11.03,RU,1635170064
City of San Pedro,14.35,121.0167,79.83,81,40,6.91,PH,1635169780
Baykit,61.67,96.37,31.26,97,100,3.09,RU,1635170065
Morgan City,29.6994,-91.2068,75.99,87,0,4.92,US,1635170067
Sørland,67.667,12.6934,41.07,95,100,8.79,NO,1635170067
Port-Gentil,-0.7193,8.7815,82.36,78,40,13.8,GA,1635170049
Belmonte,-15.8631,-38.8828,82.9,72,80,8.5,BR,1635170069
Lewiston,44.1003,-70.2148,45.32,96,100,3.33,US,1635170070
Aksu,41.1231,80.2644,53.15,37,5,3.11,CN,1635170071
Okha,53.5739,142.9478,34.3,90,0,7.63,RU,1635170071
Decatur,39.8403,-88.9548,51.12,100,90,17.27,US,1635170073
Gayéri,12.6497,0.4931,95.77,25,65,4.23,BF,1635170074
Tirano,46.2154,10.1679,55.6,46,100,1.39,IT,1635170075
Ogōri-shimogō,34.1,131.4,57.16,71,0,5.35,JP,1635169987
Marsá Maţrūḩ,31.3525,27.2453,77.2,65,40,14.97,EG,1635170077
Nelson Bay,-32.7167,152.15,64.0,72,94,1.99,AU,1635170078
Havre-St-Pierre,50.2334,-63.5986,43.39,81,90,2.3,CA,1635170079
Djibouti,11.5,42.5,85.42,48,65,15.05,DJ,1635170079
Pontes e Lacerda,-15.2261,-59.3353,82.17,46,100,5.95,BR,1635170081
Vangaindrano,-23.35,47.6,77.72,78,88,12.57,MG,1635170083
Riyadh,24.6877,46.7219,95.14,11,0,5.86,SA,1635169785
Pachino,36.7186,15.0907,70.23,65,5,4.85,IT,1635170084
Grand Gaube,-20.0064,57.6608,77.4,68,36,7.0,MU,1635170086
Yerbogachën,61.2767,108.0108,32.05,84,100,9.78,RU,1635170087
Gisborne,-38.6533,178.0042,56.95,95,15,5.93,NZ,1635169964
São Félix do Xingu,-6.6447,-51.995,93.43,44,99,2.17,BR,1635170089
Itigi,-5.7,34.4833,90.77,17,67,11.32,TZ,1635170091
Acapulco de Juárez,16.8634,-99.8901,77.02,87,100,5.03,MX,1635169965
Prado,-17.3411,-39.2208,80.87,80,98,7.25,BR,1635170092
Bang Rakam,16.7585,100.1174,78.8,94,20,0.0,TH,1635170094
Ust'-Kulom,61.6864,53.6902,29.52,75,100,9.15,RU,1635170094
